rawName,prismaName,mapAttribute,roundTripValid,category
"authentication","authentication","",true,valid
"Modified Date","modifiedDate","@map(""Modified Date"")",true,transformed
"_id","idField","@map(""_id"")",true,reserved-word
"Dealership","dealership","@map(""Dealership"")",true,transformed
"check in report today","checkInReportToday","@map(""check in report today"")",true,transformed
"Profile Picture","profilePicture","@map(""Profile Picture"")",true,transformed
"Access Level","accessLevel","@map(""Access Level"")",true,transformed
"user_signed_up","usersignedup","@map(""user_signed_up"")",true,transformed
"Linked Agent Profile","linkedAgentProfile","@map(""Linked Agent Profile"")",true,transformed
"Created Date","createdDate","@map(""Created Date"")",true,transformed
"Invoice ID","invoiceId","@map(""Invoice ID"")",true,transformed
"Linked Stock Transaction","linkedStockTransaction","@map(""Linked Stock Transaction"")",true,transformed
"Linked Agreement","linkedAgreement","@map(""Linked Agreement"")",true,transformed
"Last Payment Date","lastPaymentDate","@map(""Last Payment Date"")",true,transformed
"Eligible Amount Description","eligibleAmountDescription","@map(""Eligible Amount Description"")",true,transformed
"Created By","createdBy","@map(""Created By"")",true,transformed
"Amount","amount","@map(""Amount"")",true,transformed
"Dealercode","dealercode","@map(""Dealercode"")",true,transformed
"Locked Package?","lockedPackage","@map(""Locked Package?"")",true,special-chars
"Linked SEDA registration","linkedSedaRegistration","@map(""Linked SEDA registration"")",true,transformed
"Linked Payment","linkedPayment","@map(""Linked Payment"")",true,transformed
"2nd Payment %","f2ndPayment","@map(""2nd Payment %"")",true,numeric-start
"Linked Customer","linkedCustomer","@map(""Linked Customer"")",true,transformed
"Linked Package","linkedPackage","@map(""Linked Package"")",true,transformed
"Stamp Cash Price","stampCashPrice","@map(""Stamp Cash Price"")",true,transformed
"Commission Paid?","commissionPaid","@map(""Commission Paid?"")",true,special-chars
"Linked Agent","linkedAgent","@map(""Linked Agent"")",true,transformed
"Invoice Date","invoiceDate","@map(""Invoice Date"")",true,transformed
"Stock Status INV","stockStatusInv","@map(""Stock Status INV"")",true,transformed
"Type","typeField","@map(""Type"")",true,reserved-word
"Approval Status","approvalStatus","@map(""Approval Status"")",true,transformed
"Performance Tier Month","performanceTierMonth","@map(""Performance Tier Month"")",true,transformed
"Full Payment Date","fullPaymentDate","@map(""Full Payment Date"")",true,transformed
"Percent of Total Amount","percentOfTotalAmount","@map(""Percent of Total Amount"")",true,transformed
"Linked Invoice Item","linkedInvoiceItem","@map(""Linked Invoice Item"")",true,transformed
"1st Payment %","f1stPayment","@map(""1st Payment %"")",true,numeric-start
"Paid?","paid","@map(""Paid?"")",true,special-chars
"Normal Commission","normalCommission","@map(""Normal Commission"")",true,transformed
"1st Payment Date","f1stPaymentDate","@map(""1st Payment Date"")",true,numeric-start
"Performance Tier Year","performanceTierYear","@map(""Performance Tier Year"")",true,transformed
"Need Approval","needApproval","@map(""Need Approval"")",true,transformed
"Version","version","@map(""Version"")",true,transformed
"Amount Eligible for Comm","amountEligibleForComm","@map(""Amount Eligible for Comm"")",true,transformed
"Logs","logs","@map(""Logs"")",true,transformed
"Panel Qty","panelQty","@map(""Panel Qty"")",true,transformed
"visit","visit","",true,valid
"Payment Date","paymentDate","@map(""Payment Date"")",true,transformed
"Remark","remark","@map(""Remark"")",true,transformed
"Payment Method","paymentMethod","@map(""Payment Method"")",true,transformed
"Slug","slug","@map(""Slug"")",true,transformed
"Agent Type","agentType","@map(""Agent Type"")",true,transformed
"Name","name","@map(""Name"")",true,transformed
"Linked User Login","linkedUserLogin","@map(""Linked User Login"")",true,transformed
"Contact","contact","@map(""Contact"")",true,transformed
"Commission","commission","@map(""Commission"")",true,transformed
"TREE SEED","treeSeed","@map(""TREE SEED"")",true,transformed
"Current Annual Sales","currentAnnualSales","@map(""Current Annual Sales"")",true,transformed
"Annual Collection","annualCollection","@map(""Annual Collection"")",true,transformed
"Last Update Annual Sales","lastUpdateAnnualSales","@map(""Last Update Annual Sales"")",true,transformed
"Intro Youtube","introYoutube","@map(""Intro Youtube"")",true,transformed
"Active","active","@map(""Active"")",true,transformed
"Price","price","@map(""Price"")",true,transformed
"Special?","special","@map(""Special?"")",true,special-chars
"Panel","panel","@map(""Panel"")",true,transformed
"Linked Package Item","linkedPackageItem","@map(""Linked Package Item"")",true,transformed
"Max Discount","maxDiscount","@map(""Max Discount"")",true,transformed
"Invoice Desc","invoiceDesc","@map(""Invoice Desc"")",true,transformed
"Package Name","packageName","@map(""Package Name"")",true,transformed
"Product Warranty (Desc)","productWarrantyDesc","@map(""Product Warranty (Desc)"")",true,special-chars
"Solar Output Rating","solarOutputRating","@map(""Solar Output Rating"")",true,transformed
"Selling Price","sellingPrice","@map(""Selling Price"")",true,transformed
"Cost Price","costPrice","@map(""Cost Price"")",true,transformed
"Image","image","@map(""Image"")",true,transformed
"Description","description","@map(""Description"")",true,transformed
"Linked Brand","linkedBrand","@map(""Linked Brand"")",true,transformed
"PDF Product","pdfProduct","@map(""PDF Product"")",true,transformed
"Inventory","inventory","@map(""Inventory"")",true,transformed
"Active?","active1","@map(""Active?"")",true,special-chars
"Warranty Link","warrantyLink","@map(""Warranty Link"")",true,transformed
"Warranty Name","warrantyName","@map(""Warranty Name"")",true,transformed
"Label","label","@map(""Label"")",true,transformed
"Linked Category","linkedCategory","@map(""Linked Category"")",true,transformed
"Linked Products","linkedProducts","@map(""Linked Products"")",true,transformed
"Category Name","categoryName","@map(""Category Name"")",true,transformed
"","field_c70353","@map("""")",true,edge-case
"   ","field_4041dc","@map(""   "")",true,edge-case
"123","f123","@map(""123"")",true,edge-case
"2nd Payment %","f2ndPayment1","@map(""2nd Payment %"")",true,edge-case
"1st Payment %","f1stPayment1","@map(""1st Payment %"")",true,edge-case
"select","selectField","@map(""select"")",true,edge-case
"data","dataField","@map(""data"")",true,edge-case
"_id","idField1","@map(""_id"")",true,edge-case
"中文字段","field_aa3643","@map(""中文字段"")",true,edge-case
"émojis_🚀","emojis","@map(""émojis_🚀"")",true,edge-case
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa","@map(""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"")",true,edge-case
"!!!invalid!!!","invalid","@map(""!!!invalid!!!"")",true,edge-case
"field@domain.com","fielddomaincom","@map(""field@domain.com"")",true,edge-case
"path/to/field","pathtofield","@map(""path/to/field"")",true,edge-case
